,minimum_sample_split,n_estimators,minimum_sample_leaf,minimum_impurity_decrease,training_accuracy,testing_accuracy,accuracy_differences
78,5,30,0.31000000000000005,0.0,0.6133720930232558,0.6869565217391305,0.07358442871587467
79,5,30,0.31000000000000005,0.05,0.7979651162790697,0.8,0.002034883720930303
80,5,30,0.31000000000000005,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
81,5,30,0.36000000000000004,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
82,5,30,0.36000000000000004,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
83,5,30,0.36000000000000004,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
84,5,30,0.41000000000000003,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
85,5,30,0.41000000000000003,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
86,5,30,0.41000000000000003,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
87,5,30,0.46,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
88,5,30,0.46,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
89,5,30,0.46,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
90,5,30,0.51,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
91,5,30,0.51,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
92,5,30,0.51,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
93,5,30,0.56,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
94,5,30,0.56,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
95,5,30,0.56,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
96,5,30,0.6100000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
97,5,30,0.6100000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
98,5,30,0.6100000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
99,5,30,0.66,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
100,5,30,0.66,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
101,5,30,0.66,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
102,5,30,0.7100000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
103,5,30,0.7100000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
104,5,30,0.7100000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
105,5,30,0.76,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
106,5,30,0.76,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
107,5,30,0.76,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
108,5,30,0.81,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
109,5,30,0.81,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
110,5,30,0.81,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
111,5,30,0.8600000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
112,5,30,0.8600000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
113,5,30,0.8600000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
114,5,30,0.91,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
115,5,30,0.91,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
116,5,30,0.91,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
117,5,30,0.9600000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
118,5,30,0.9600000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
119,5,30,0.9600000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
120,7,30,0.01,0.0,0.8924418604651163,0.8695652173913043,0.022876643073811986
121,7,30,0.01,0.05,0.8313953488372093,0.8304347826086956,0.000960566228513704
122,7,30,0.01,0.1,0.8357558139534884,0.8434782608695652,0.0077224469160768194
123,7,30,0.060000000000000005,0.0,0.8648255813953488,0.8826086956521739,0.017783114256825105
124,7,30,0.060000000000000005,0.05,0.8357558139534884,0.8521739130434782,0.016418099089989813
125,7,30,0.060000000000000005,0.1,0.8168604651162791,0.8173913043478261,0.0005308392315470645
126,7,30,0.11,0.0,0.8357558139534884,0.8434782608695652,0.0077224469160768194
127,7,30,0.11,0.05,0.8401162790697675,0.8478260869565217,0.0077098078867542386
128,7,30,0.11,0.1,0.8357558139534884,0.8347826086956521,0.0009732052578362849
129,7,30,0.16000000000000003,0.0,0.8284883720930233,0.8478260869565217,0.019337714863498445
130,7,30,0.16000000000000003,0.05,0.8255813953488372,0.8347826086956521,0.009201213346814896
131,7,30,0.16000000000000003,0.1,0.8168604651162791,0.8173913043478261,0.0005308392315470645
132,7,30,0.21000000000000002,0.0,0.8125,0.8217391304347826,0.009239130434782639
133,7,30,0.21000000000000002,0.05,0.8328488372093024,0.8434782608695652,0.010629423660262871
134,7,30,0.21000000000000002,0.1,0.811046511627907,0.8217391304347826,0.010692618806875664
135,7,30,0.26,0.0,0.8226744186046512,0.8434782608695652,0.020803842264914052
136,7,30,0.26,0.05,0.8372093023255814,0.8521739130434782,0.014964610717896787
137,7,30,0.26,0.1,0.8125,0.8391304347826087,0.026630434782608736
138,7,30,0.31000000000000005,0.0,0.7165697674418605,0.7652173913043478,0.04864762386248733
139,7,30,0.31000000000000005,0.05,0.7281976744186046,0.7869565217391304,0.05875884732052583
140,7,30,0.31000000000000005,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
141,7,30,0.36000000000000004,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
142,7,30,0.36000000000000004,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
143,7,30,0.36000000000000004,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
144,7,30,0.41000000000000003,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
145,7,30,0.41000000000000003,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
146,7,30,0.41000000000000003,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
147,7,30,0.46,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
148,7,30,0.46,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
149,7,30,0.46,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
